,budget,revenue
529,1500000,0
530,1500000,0
531,1500000,0
532,1500000,0
533,1500000,0
534,1500000,0
535,1500000,0
536,1500000,0
537,1500000,0
538,1549000,0
539,1600000,0
540,1600000,0
541,1645000,0
542,1700000,0
543,1700000,0
544,1700000,0
545,1700000,0
546,1700000,0
547,1700000,0
548,1746964,0
549,1750000,0
550,1800000,0
551,1800000,0
552,1800000,0
553,1800000,0
554,1800000,0
555,1800000,0
556,1800000,0
557,1800000,0
558,1800000,0
559,1800000,0
560,1800000,0
561,1800000,0
562,1800000,0
563,1880006,0
564,1900000,0
565,1900000,0
566,1900000,0
567,1950000,0
568,1987650,0
569,2000000,0
570,2000000,0
571,2000000,0
572,2000000,0
573,2000000,0
574,2000000,0
575,2000000,0
576,2000000,0
577,2000000,0
578,2000000,0
579,2000000,0
580,2000000,0
581,2000000,0
582,2000000,0
583,2000000,0
584,2000000,0
585,2000000,0
586,2000000,0
587,2000000,0
588,2000000,0
589,2000000,0
590,2000000,0
591,2000000,0
592,2000000,0
593,2000000,0
594,2000000,0
595,2000000,0
596,2000000,0
597,2000000,0
598,2000000,0
599,2000000,0
600,2000000,0
601,2000000,0
602,2000000,0
603,2000000,0
604,2000000,0
605,2000000,0
606,2000000,0
607,2000000,0
608,2000000,0
609,2000000,0
610,2000000,0
611,2000000,0
612,2000000,0
613,2000000,0
614,2000000,0
615,2000000,0
616,2000000,0
617,2000000,0
618,2000000,0
619,2000000,0
620,2000000,0
621,2000000,0
622,2000000,0
623,2000000,0
624,2000000,0
625,2000000,0
626,2000000,0
627,2000000,0
628,2000000,0
629,2000000,0
630,2000000,0
631,2000000,0
632,2000000,0
633,2000000,0
634,2000000,0
635,2000000,0
636,2000000,0
637,2000000,0
638,2000000,0
639,2000000,0
640,2000000,0
641,2000000,0
642,2000000,0
643,2000000,0
644,2000000,0
645,2000000,0
646,2000000,0
647,2000000,0
648,2000000,0
649,2000000,0
650,2011799,0
651,2068041,0
652,2079000,0
653,2135161,0
654,2200000,0
655,2200000,0
656,2200000,0
657,2200000,0
658,2200000,0
659,2200000,0
660,2200000,0
661,2200000,0
662,2240000,0
663,2300000,0
664,2300000,0
665,2300000,0
666,2300000,0
667,2300000,0
668,2380000,0
669,2400000,0
670,2400000,0
671,2400000,0
672,2410000,0
673,2489400,0
674,2500000,0
675,2500000,0
676,2500000,0
677,2500000,0
678,2500000,0
679,2500000,0
680,2500000,0
681,2500000,0
682,2500000,0
683,2500000,0
684,2500000,0
685,2500000,0
686,2500000,0
687,2500000,0
688,2500000,0
689,2500000,0
690,2500000,0
691,2500000,0
692,2500000,0
693,2500000,0
694,2500000,0
695,2500000,0
696,2500000,0
697,2500000,0
698,2500000,0
699,2500000,0
700,2500000,0
701,2500000,0
702,2500000,0
703,2500000,0
704,2500000,0
705,2500000,0
706,2500000,0
707,2500000,0
708,2500000,0
709,2500000,0
710,2500000,0
711,2500000,0
712,2500000,0
713,2500000,0
714,2500000,0
